customerID,gender,SeniorCitizen,SeniorCitizen_trans,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,monthlycharges_bin,TotalCharges,Churn,Churn_flag
0434-CSFON,Female,0,young,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,101-120,4707.1,No,0
1215-FIGMP,Male,0,young,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,81-100,5450.7,No,0
0526-SXDJP,Male,0,young,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,41-60,2962,No,0
0557-ASKVU,Female,0,young,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,41-60,957.1,No,0
5698-BQJOH,Female,0,young,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,81-100,857.25,Yes,1
5122-CYFXA,Female,0,young,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,61-80,244.1,No,0
8627-ZYGSZ,Male,0,young,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,61-80,3650.35,No,0
3410-YOQBQ,Female,0,young,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,61-80,2497.2,No,0
3170-NMYVV,Female,0,young,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,21-40,930.9,No,0
7410-OIEDU,Male,0,young,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,61-80,887.35,No,0
2273-QCKXA,Male,0,young,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,41-60,49.05,No,0
0731-EBJQB,Female,0,young,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,21-40,1090.65,No,0
1891-QRQSA,Male,1,senior,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,101-120,7099,No,0
8028-PNXHQ,Male,0,young,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,21-40,1424.6,No,0
5630-AHZIL,Female,0,young,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,61-80,177.4,No,0
2673-CXQEU,Female,1,senior,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,101-120,6139.5,No,0
6416-JNVRK,Female,0,young,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,41-60,2688.85,No,0
5590-ZSKRV,Female,0,young,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,41-60,482.25,No,0
0191-ZHSKZ,Male,1,senior,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,61-80,2111.3,No,0
3887-PBQAO,Female,0,young,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,21-40,1216.6,No,0
5919-TMRGD,Female,0,young,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,61-80,79.35,Yes,1
8108-UXRQN,Female,0,young,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,41-60,565.35,No,0
9191-MYQKX,Female,0,young,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,61-80,496.9,Yes,1
9919-YLNNG,Female,0,young,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,101-120,4327.5,No,0
0318-ZOPWS,Female,0,young,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,21-40,973.35,No,0
4445-ZJNMU,Male,0,young,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,81-100,918.75,No,0
4808-YNLEU,Female,0,young,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,61-80,2215.45,No,0
1862-QRWPE,Female,0,young,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,21-40,1057,No,0
2796-NNUFI,Female,0,young,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,0-20,927.1,No,0
3016-KSVCP,Male,0,young,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,21-40,1009.25,No,0
4767-HZZHQ,Male,0,young,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,81-100,2570.2,No,0
2424-WVHPL,Male,1,senior,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,61-80,74.7,No,0
7233-PAHHL,Male,0,young,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84,81-100,5714.25,No,0
6067-NGCEU,Female,0,young,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,101-120,7107,No,0
9848-JQJTX,Male,0,young,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,101-120,7459.05,No,0
8637-XJIVR,Female,0,young,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,61-80,927.35,Yes,1
9803-FTJCG,Male,0,young,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,61-80,4748.7,No,0
0278-YXOOG,Male,0,young,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,21-40,113.85,Yes,1
3212-KXOCR,Male,0,young,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21,21-40,1107.2,No,0
4598-XLKNJ,Female,1,senior,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,81-100,2514.5,Yes,1
6380-ARCEH,Male,0,young,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,21-40,20.2,No,0
3679-XASPY,Female,0,young,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,0-20,19.45,No,0
7123-WQUHX,Male,0,young,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95,81-100,3605.6,No,0
5386-THSLQ,Female,1,senior,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,41-60,3027.25,No,0
3192-NQECA,Male,0,young,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110,101-120,7611.85,Yes,1
6180-YBIQI,Male,0,young,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,21-40,100.2,No,0
6728-DKUCO,Female,0,young,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,101-120,7303.05,No,0
9750-BOOHV,Female,0,young,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,21-40,927.65,No,0
8597-CWYHH,Male,0,young,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,81-100,3921.3,No,0
2848-YXSMW,Male,0,young,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,0-20,1363.25,No,0
0486-HECZI,Male,0,young,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,81-100,5238.9,Yes,1
4549-ZDQYY,Female,0,young,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,41-60,3042.25,No,0
5712-AHQNN,Female,0,young,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,81-100,3954.1,No,0
4846-WHAFZ,Female,1,senior,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,61-80,2868.15,Yes,1
5256-SKJGO,Female,0,young,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,41-60,3423.5,No,0
3071-VBYPO,Male,0,young,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,81-100,248.4,No,0
9560-BBZXK,Female,0,young,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,21-40,1126.35,No,0
5299-RULOA,Female,0,young,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,101-120,1064.65,Yes,1
8402-OOOHJ,Female,0,young,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,21-40,835.15,No,0
9445-ZUEQE,Male,0,young,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,81-100,2151.6,No,0
1091-SOZGA,Female,0,young,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,81-100,5515.45,No,0
2928-HLDBA,Female,0,young,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,21-40,112.75,No,0
0404-SWRVG,Male,0,young,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,61-80,229.55,Yes,1
6497-TILVL,Female,0,young,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,41-60,350.35,No,0
7219-TLZHO,Female,0,young,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,21-40,62.9,No,0
4622-YNKIJ,Male,0,young,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,81-100,3027.65,No,0
4412-YLTKF,Female,1,senior,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,61-80,2135.5,Yes,1
6734-PSBAW,Male,0,young,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,21-40,1723.95,No,0
3930-ZGWVE,Male,0,young,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,0-20,19.75,No,0
2639-UGMAZ,Male,1,senior,No,No,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45,41-60,3985.35,No,0
2876-GZYZC,Female,0,young,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,81-100,1215.65,No,0
6207-WIOLX,Female,0,young,Yes,Yes,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,41-60,1502.65,Yes,1
8587-XYZSF,Male,0,young,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,41-60,3260.1,No,0
3091-FYHKI,Male,0,young,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,21-40,35.45,Yes,1
2372-HWUHI,Male,0,young,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,41-60,81.25,Yes,1
7799-LGRDP,Female,0,young,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,21-40,1188.2,No,0
7850-VWJUU,Female,0,young,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75,61-80,1778.5,No,0
3774-VBNXY,Female,0,young,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,21-40,1277.75,No,0
6217-KDYWC,Male,0,young,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.6,0-20,1170.55,No,0
0390-DCFDQ,Female,1,senior,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,61-80,70.45,Yes,1
3146-MSEGF,Female,1,senior,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,81-100,6425.65,No,0
4080-OGPJL,Female,0,young,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,61-80,563.65,Yes,1
1095-WGNGG,Female,0,young,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.05,101-120,5971.25,No,0
2636-SJDOU,Male,0,young,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.3,81-100,5289.05,No,0
1131-QQZEB,Male,1,senior,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.95,21-40,1756.2,No,0
5716-EZXZN,Female,0,young,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05,81-100,6416.7,No,0
6837-BJYDQ,Male,0,young,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,0-20,61.35,No,0
2135-RXIHG,Male,0,young,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,41-60,45.65,Yes,1
6440-DKQGE,Male,0,young,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,61-80,1929.95,No,0
3466-BYAVD,Male,0,young,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,61-80,1071.4,No,0
3780-YVMFA,Female,0,young,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55,61-80,564.35,No,0
3874-EQOEP,Male,0,young,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95,81-100,655.5,Yes,1
1679-JRFBR,Female,0,young,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),108.15,101-120,7930.55,No,0
